Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
1,71993;2,058139;-150;0,3488626;-0,291276;-9,815403;39,50272;49,97253;9;1;1;0;0;42;602146400;0;0;0;0;4294967295;3750000128;6729;18000000;550730500;12;0;555;-349;6;0,008517205;0,3061615;-0,3550194;0,8296761;1,733031E+07;173,3867;1081343
1,733796;2,046854;-150;0,3609295;-0,2838583;-9,808087;39,50272;49,97253;9;1;1;0;0;42;902146200;0;0;0;0;4294967295;3750000128;6747;18000000;550730750;12;0;560;-356;6;0,008213402;0,3099581;-0,3587711;0,8351344;1,733031E+07;173,3867;1081343
1,717738;2,032142;-150;0,3316946;-0,2765627;-9,808505;39,51782;49,97253;9;1;1;0;0;43;162146266;0;0;0;0;4294967295;3750000128;6766;18000000;550731000;12;0;563;-363;6;0,007935616;0,3125289;-0,3614461;0,8388213;1,733031E+07;173,3867;1081343
1,73805;2,040534;-150;0,3633204;-0,2838316;-9,803166;39,49265;49,97253;9;1;1;0;0;43;442146200;0;0;0;0;4294967295;3750000128;6784;18000000;550731250;12;0;567;-370;6;0,008442058;0,314485;-0,3634888;0,8444291;1,733031E+07;173,3867;1081343
1,759433;2,032318;-150;0,3534851;-0,2813597;-9,793507;39,51279;49,97253;9;1;1;0;0;43;742146200;0;0;0;0;4294967295;3750000128;6803;18000000;550731500;12;0;572;-377;6;0,009314811;0,3178419;-0,3671599;0,850137;1,733031E+07;173,3867;1081343
1,710562;1,956329;-151;0,2294703;-0,9914608;-9,986362;39,51782;50,04883;9;1;1;0;0;44;602146200;0;0;0;0;4294967295;3750000384;6876;18000000;550732500;12;0;585;-400;7;0,002471907;0,3175797;-0,3708997;0,8677859;1,733031E+07;173,3867;1081343
1,6348;1,890115;-151;0,3266287;-0,2666893;-9,791598;39,52286;50,04883;9;1;1;0;0;45;122146266;0;0;0;0;4294967295;3750000384;6912;18000000;550733000;12;0;593;-414;7;0,009442941;0,3432971;-0,375803;0,8799253;1,733031E+07;173,3867;1081343
1,610224;1,89069;-152;0,3007965;-0,2769747;-9,889635;39,53293;49,97253;9;1;1;0;0;45;422146266;0;0;0;0;4294967295;3750000384;6930;18000000;550733250;12;0;597;-423;7;0,009591863;0,3476298;-0,3793099;0,8883603;1,733031E+07;173,3867;1081343
1,689486;2,049739;-152;0,3364563;-0,2985373;-9,785975;39,52286;49,97253;9;1;1;0;0;45;722146266;0;0;0;0;4294967295;3750000384;6948;18000000;550733500;12;0;602;-431;7;0,008702934;0,3500105;-0,3824874;0,896825;1,733031E+07;173,3867;1081343
1,605137;1,93596;-152;0,3411264;-0,2788506;-9,774072;39,48761;49,97253;9;1;1;0;0;46;22146333;0;0;0;0;4294967295;3750000384;6966;18000000;550733750;12;0;606;-440;7;0,008319451;0,3533083;-0,3849941;0,9049199;1,733031E+07;173,3867;1081343
1,615848;1,92566;-152;0,3414164;-0,2838802;-9,80337;39,51279;49,97253;9;1;1;0;0;46;282146400;0;0;0;0;4294967295;3750000384;6984;18000000;550734000;12;0;610;-447;7;0,007795748;0,3560019;-0,3879421;0,9103499;1,733031E+07;173,3867;1081343
1,656928;2,429318;-156;0,8960247;-1,158788;-9,866564;39,48761;50,04883;9;1;1;0;0;46;522146266;0;0;0;0;4294967295;3750000384;7002;18000000;550734250;12;0;614;-454;7;0,008820352;0,3430943;-0,3574438;0,9154067;1,733031E+07;173,3867;1081343
0,5075261;0,2401873;-155;0,00255394;-0,03219414;-9,867881;39,51279;50,12512;9;1;1;0;0;46;782146333;0;0;0;0;4294967295;3750000384;7020;18000000;550734500;12;0;616;-461;7;-0,01617013;0,3652164;-0,3501995;0,921589;1,733031E+07;173,3867;1081343
0,532846;0,1801907;-156;-1,483582;0,3714876;-9,37528;39,54803;50,12512;9;1;1;0;0;47;362146266;0;0;0;0;4294967295;3750000384;7055;18000000;550735000;12;0;624;-479;8;-0,02773877;0,3762401;-0,3520779;0,9382428;1,733031E+07;173,3867;1081343
0,6126953;0,2848127;-155;0,06074619;-0,09072208;-9,814726;39,55307;50,04883;9;1;1;0;0;47;642146200;0;0;0;0;4294967295;3750000384;7091;18000000;550735500;12;0;628;-487;8;-0,005328977;0,3798895;-0,3602498;0,9465961;1,733031E+07;173,3867;1081343
